English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example,English source URL,Vietnamese source URL
angiomatosis,bệnh u mạch,n,"Hereditary hemorrhagic telangiectasia (Osler-Weber-Rendu disease) is a form of angiomatosis, characterized by multiple vascular malformations throughout the body.","Giãn mao mạch xuất huyết di truyền (bệnh Osler-Weber-Rendu) là một dạng bệnh u mạch, đặc trưng bởi nhiều dị dạng mạch máu khắp cơ thể.",UNOBSERVED,UNOBSERVED,,
mandibular,xương hàm dưới,a,"  The mandibular nerve provides sensory innervation to the lower teeth, gums, lip, and chin, and motor innervation to the muscles of mastication.  ","  Dây thần kinh xương hàm dưới cung cấp cảm giác cho răng dưới, nướu, môi và cằm, và vận động cho các cơ nhai.",UNOBSERVED,UNOBSERVED,,
suprarenalectomy,cắt bỏ tuyến thượng thận,n,"  Bilateral suprarenalectomy, the surgical removal of both adrenal glands, necessitates lifelong hormone replacement therapy to compensate for the loss of adrenal hormone production.  ",  Phẫu thuật cắt bỏ tuyến thượng thận hai bên đòi hỏi liệu pháp thay thế hormone suốt đời để bù đắp cho sự mất sản xuất hormone thượng thận.,UNOBSERVED,UNOBSERVED,,
fibrous sheaths of toes,tấm sợi của ngón chân,n,  The fibrous sheaths of toes hold the flexor tendons in place.  ,  Các tấm sợi của ngón chân giữ các gân gấp ở đúng vị trí.,UNOBSERVED,UNOBSERVED,,
Rieger anomaly,hội chứng Rieger,n,"  Rieger anomaly, a rare autosomal dominant developmental disorder affecting primarily the anterior segment of the eye, often presents with iris hypoplasia, corectopia, and an increased risk of glaucoma, sometimes associated with systemic abnormalities.  ","  Hội chứng Rieger, một rối loạn phát triển di truyền trội trên nhiễm sắc thể thường hiếm gặp chủ yếu ảnh hưởng đến phần trước của mắt, thường biểu hiện bằng thiểu sản mống mắt, lệch đồng tử, và tăng nguy cơ tăng nhãn áp, đôi khi kết hợp với các bất thường toàn thân.",UNOBSERVED,UNOBSERVED,,
rhesus,hệ rhesus,n,"  The rhesus blood group system is critical in transfusion medicine and obstetrics due to the high immunogenicity of the D antigen, which can lead to hemolytic transfusion reactions or hemolytic disease of the fetus and newborn","  Hệ rhesus (nhóm máu Rhesus) rất quan trọng trong y học truyền máu và sản khoa do tính sinh miễn dịch cao của kháng nguyên D, có thể dẫn đến các phản ứng tan máu do truyền máu hoặc bệnh tan máu ở thai nhi và trẻ sơ sinh",UNOBSERVED,UNOBSERVED,,
dyaster,thể hai sao,n, Observation of a dyaster configuration under the microscope confirms that the cell is actively progressing through the later stages of nuclear division. , Quan sát cấu hình thể hai sao dưới kính hiển vi xác nhận rằng tế bào đang tích cực tiến triển qua các giai đoạn sau của quá trình phân chia nhân.,UNOBSERVED,UNOBSERVED,,
hyperbulia,quá cường ý chí,n," Manic episodes are often characterized by hyperbulia, an excessive and often unrealistic drive or willpower. "," Các giai đoạn hưng cảm thường được đặc trưng bởi quá cường ý chí, một sự thôi thúc hoặc ý chí quá mức và thường không thực tế.",UNOBSERVED,UNOBSERVED,,
gastrofiberscope,kính soi sợi dạ dày,n,  Modern endoscopy utilizes a flexible gastrofiberscope with a camera to visualize the upper GI tract.  ,  Nội soi hiện đại sử dụng kính soi sợi dạ dày linh hoạt có camera để hình dung đường tiêu hóa trên.,UNOBSERVED,UNOBSERVED,,
osteodesmosis,hình thành gân xương,,  Osteodesmosis can sometimes occur after a significant tendon injury.  ,  Sự hình thành gân xương đôi khi có thể xảy ra sau một chấn thương gân đáng kể.,UNOBSERVED,UNOBSERVED,,
pitting,trừ khử,n,"  The spleen is involved in the pitting of old red blood cells, removing inclusions without destroying the cell.  ","  Lách tham gia vào việc trừ khử các hồng cầu già, loại bỏ các thể vùi mà không phá hủy tế bào.",UNOBSERVED,UNOBSERVED,,
ligate,thắt,v," In a vasectomy, the vas deferens is cut and ligated to prevent the transport of sperm. "," Trong phẫu thuật thắt ống dẫn tinh, ống dẫn tinh được cắt và thắt lại để ngăn chặn sự vận chuyển của tinh trùng.",UNOBSERVED,UNOBSERVED,,
glasses,kính,a,  The patient was prescribed new glasses to correct their vision.  ,  Bệnh nhân được kê đơn kính mới để điều chỉnh thị lực.,UNOBSERVED,UNOBSERVED,,
perimolysis,ăn mòn lớp cứng thân răng,n,"  Perimolysis is the erosion of tooth enamel and dentin caused by chronic exposure to gastric acid, often seen in patients with bulimia or GERD.  ","  Ăn mòn lớp cứng thân răng là sự xói mòn men răng và ngà răng do tiếp xúc mãn tính với axit dạ dày, thường thấy ở bệnh nhân mắc chứng cuồng ăn hoặc GERD.",UNOBSERVED,UNOBSERVED,,
vasography,chụp huyết quản,n," Digital subtraction angiography (DSA) is an advanced form of vasography that uses computer processing to remove overlying bone structures from images, providing a clearer view of the opacified blood vessels. "," Chụp mạch xóa nền kỹ thuật số (DSA) là một dạng chụp huyết quản tiên tiến sử dụng xử lý máy tính để loại bỏ các cấu trúc xương chồng lên khỏi hình ảnh, cung cấp một cái nhìn rõ ràng hơn về các mạch máu đã được làm mờ.",UNOBSERVED,UNOBSERVED,,
pneumococcosis,nhiễm phế cầu khuẩn,n,  Pneumococcosis is any infection caused by pneumococci.  ,  Nhiễm phế cầu khuẩn là bất kỳ bệnh nhiễm trùng nào do phế cầu khuẩn gây ra.,UNOBSERVED,UNOBSERVED,,
phalloidine,phalloidin,n," Phalloidine, a cyclic peptide toxin found in the Amanita phalloides (death cap) mushroom, disrupts actin polymerization and can cause severe liver damage if ingested. "," Phalloidin, một độc tố peptide vòng được tìm thấy trong nấm Amanita phalloides (nấm mũ tử thần), phá vỡ quá trình trùng hợp actin và có thể gây tổn thương gan nghiêm trọng nếu ăn phải.",UNOBSERVED,UNOBSERVED,,
corium,chân bì,n," The corium, also known as the dermis, is the layer of skin beneath the epidermis. ","Chân bì , còn được gọi là lớp bì, là lớp da nằm dưới lớp biểu bì.",UNOBSERVED,UNOBSERVED,,
postmenstrua,sau kỳ kinh,n,  The postmenstrua phase is the period immediately following menstruation.  ,  Giai đoạn sau kỳ kinh là giai đoạn ngay sau khi hành kinh.,UNOBSERVED,UNOBSERVED,,
levels of consciousness,mức độ nhận thức,n,"  Assessing levels of consciousness is critical in evaluating patients with head injuries or neurological emergencies, often using scales like the Glasgow Coma Scale.  ","  Đánh giá mức độ nhận thức là rất quan trọng trong việc lượng giá bệnh nhân bị chấn thương đầu hoặc cấp cứu thần kinh, thường sử dụng các thang điểm như Thang điểm Hôn mê Glasgow.",UNOBSERVED,UNOBSERVED,,
serosal,thanh mạc,a,  Tumor invasion through the serosal layer is an important factor in staging colorectal cancer.  ,  Sự xâm lấn của khối u qua lớp thanh mạc là một yếu tố quan trọng trong việc phân giai đoạn ung thư đại trực tràng.,UNOBSERVED,UNOBSERVED,,
basialis,điểm nền sọ,a," Certain craniometric landmarks are defined in relation to the basialis, or base of the skull. "," Một số mốc đo sọ nhất định được xác định liên quan đến điểm nền sọ, hoặc nền sọ.",UNOBSERVED,UNOBSERVED,,
white finger,hội chứng bàn tay trắng,n,"  Raynaud's phenomenon, sometimes referred to as white finger when primarily affecting the digits due to vasospasm, can be triggered by cold temperatures or emotional stress, leading to temporary discoloration and numbness.  ","  Hiện tượng Raynaud, đôi khi được gọi là Hội chứng bàn tay trắng khi chủ yếu ảnh hưởng đến các ngón tay do co thắt mạch máu, có thể được kích hoạt bởi nhiệt độ lạnh hoặc căng thẳng cảm xúc, dẫn đến đổi màu và tê tạm thời.",UNOBSERVED,UNOBSERVED,,
megaly,đại,suff.,  Hepatomegaly refers to an enlargement of the liver.  ,Gan đại đề cập đến sự phì đại của gan.,UNOBSERVED,UNOBSERVED,,
hydride,hydrur,n, Sodium borohydride is a common reducing agent used in organic chemistry. , Natri borohydrur là một chất khử phổ biến được sử dụng trong hóa học hữu cơ.,UNOBSERVED,UNOBSERVED,,
Smith-Petersen nail,móng Smith-Petersen,n," The Smith-Petersen nail, a three-flanged nail made of stainless steel or Vitallium, was historically a significant advancement in the internal fixation of femoral neck fractures, allowing for earlier patient mobilization. "," Đinh Smith-Petersen, một loại đinh ba cạnh làm bằng thép không gỉ hoặc Vitallium, trong lịch sử là một tiến bộ đáng kể trong việc cố định bên trong các trường hợp gãy cổ xương đùi, cho phép bệnh nhân vận động sớm hơn.",UNOBSERVED,UNOBSERVED,,
karyocyte,tế bào có nhân,n, A karyocyte is any cell that possesses a nucleus. , Tế bào có nhân (karyocyte) là bất kỳ tế bào nào có nhân.,UNOBSERVED,UNOBSERVED,,
cataphora,ngủ lịm chập chờn,n,  Cataphora is a state of lethargy or coma-like sleep from which the person can be partially aroused.  ,  Ngủ lịm chập chờn là trạng thái hôn mê hoặc ngủ giống như hôn mê mà từ đó người bệnh có thể được đánh thức một phần.,UNOBSERVED,UNOBSERVED,,
"laryngeal cavity, intermediate",ổ thanh quản giữa,," The laryngeal cavity, intermediate part, lies between the vestibular folds and the vocal folds. ", Ổ thanh quản giữa nằm giữa các nếp tiền đình và nếp thanh âm.,UNOBSERVED,UNOBSERVED,,
bromurated,brom hóa,a, Bromurated compounds are sometimes used in organic synthesis. , Các hợp chất được brom hóa đôi khi được sử dụng trong tổng hợp hữu cơ.,UNOBSERVED,UNOBSERVED,,
anasarcous,phù toàn thân,a,"The patient presented in an anasarcous state, with profound swelling of the limbs, face, and trunk.","Bệnh nhân nhập viện trong tình trạng phù toàn thân, với sưng phù rõ rệt ở các chi, mặt và thân.",UNOBSERVED,UNOBSERVED,,
slurry,hồ,n,  The dental technician mixed the powder and liquid to create a smooth slurry for the tooth filling.  ,  Kỹ thuật viên nha khoa đã trộn bột và chất lỏng để tạo ra một hỗn hợp hồ mịn để trám răng.,UNOBSERVED,UNOBSERVED,,
terebrating pain,đau như dao đâm,n,"  A terebrating pain, often described as sharp, boring, or piercing, is characteristic of certain conditions like trigeminal neuralgia or bone cancer. ","  Đau như dao đâm, thường được mô tả là nhói, đau như dùi đâm hoặc xuyên thấu, là đặc điểm của một số tình trạng nhất định như đau dây thần kinh sinh ba hoặc ung thư xương.",UNOBSERVED,UNOBSERVED,,
parenteral absorption,hấp thu ngoài đường ruột,n," Parenteral absorption of nutrients bypasses the digestive system, delivering them directly into the bloodstream. "," Hấp thu ngoài đường ruột các chất dinh dưỡng bỏ qua hệ tiêu hóa, đưa chúng trực tiếp vào máu.",UNOBSERVED,UNOBSERVED,,
heart block,bloc tim,n,"  A complete heart block prevents electrical impulses from the atria from reaching the ventricles, requiring a pacemaker.  ","  Một bloc tim hoàn toàn ngăn cản các xung điện từ tâm nhĩ đến tâm thất, đòi hỏi phải đặt máy tạo nhịp.",UNOBSERVED,UNOBSERVED,,
quadrilateral,hình bốn cạnh,"n,a",  A quadrilateral area was marked for the surgical incision.  ,  Một khu vực hình bốn cạnh đã được đánh dấu cho vết mổ phẫu thuật.,UNOBSERVED,UNOBSERVED,,
pseudocele,khoang vách trong suốt,n,"  A large pseudocele, or khoang vách trong suốt, is usually a benign anatomical variant.  ",  Một khoang vách trong suốt (pseudocele) lớn thường là một biến thể giải phẫu lành tính.,UNOBSERVED,UNOBSERVED,,
hypereccrisis,tăng bài tiết,n," The patient experienced hypereccrisis of gastric acid, leading to severe heartburn. "," Bệnh nhân trải qua tình trạng tăng bài tiết axit dạ dày, dẫn đến chứng ợ nóng nghiêm trọng.",UNOBSERVED,UNOBSERVED,,
fluor,tháo,n,"  In older medical terminology, fluor referred to an excessive discharge or flow from a body part.  ","  Trong thuật ngữ y học cũ hơn, fluor (tháo) đề cập đến sự tiết dịch hoặc dòng chảy quá mức từ một bộ phận cơ thể.",UNOBSERVED,UNOBSERVED,,
parous,đã từng sinh,a, A parous woman is one who has given birth one or more times. , Một phụ nữ đã từng sinh là người đã sinh con một hoặc nhiều lần.,UNOBSERVED,UNOBSERVED,,
electroretinography,điện võng mạc ký,n,"  Electroretinography helps in the diagnosis of various retinal disorders, such as retinitis pigmentosa.  ","  Điện võng mạc ký giúp chẩn đoán các rối loạn võng mạc khác nhau, chẳng hạn như viêm võng mạc sắc tố.",UNOBSERVED,UNOBSERVED,,
hematophagia,ký sinh trong máu,a, Some protozoa exhibit hematophagia by living as parasites within the blood cells of their host. , Một số động vật nguyên sinh thể hiện tập tính ký sinh trong máu bằng cách sống như ký sinh trùng trong các tế bào máu của vật chủ.,UNOBSERVED,UNOBSERVED,,
retinitis,viêm võng mạc,n,"  Cytomegalovirus retinitis is a serious ocular complication often seen in immunocompromised individuals, such as those with advanced HIV/AIDS, and can lead to irreversible vision loss if not treated promptly with antiviral medications","  Viêm võng mạc do cytomegalovirus là một biến chứng mắt nghiêm trọng thường thấy ở những người bị suy giảm miễn dịch, chẳng hạn như những người mắc HIV/AIDS giai đoạn tiến triển, và có thể dẫn đến mất thị lực không hồi phục nếu không được điều trị kịp thời bằng thuốc kháng vi-rút",UNOBSERVED,UNOBSERVED,,
persistent thymus,tuyến ức tàn dư.,, A persistent thymus in an adult can sometimes be associated with myasthenia gravis. , Tuyến ức tàn dư ở người lớn đôi khi có thể liên quan đến bệnh nhược cơ.,UNOBSERVED,UNOBSERVED,,
trypanosomiasis,Trypanosoma,n," Chagas disease, a form of American trypanosomiasis, is caused by the parasite *Trypanosoma* cruzi and can lead to chronic cardiac and gastrointestinal complications if left untreated. "," Bệnh Chagas, một dạng bệnh do Trypanosoma ở châu Mỹ (trypanosomiasis), là do ký sinh trùng *Trypanosoma* cruzi gây ra và có thể dẫn đến các biến chứng tim và tiêu hóa mãn tính nếu không được điều trị.",UNOBSERVED,UNOBSERVED,,
malinterdigitation,cài nhau bất thường,n,  Dental malinterdigitation occurs when the cusps of opposing teeth do not fit together properly during occlusion.  ,  Sự cài nhau bất thường của răng xảy ra khi các múi răng đối diện không khớp với nhau đúng cách trong quá trình cắn khớp.,UNOBSERVED,UNOBSERVED,,
periorbital,quanh hốc mắt,a,  Periorbital cellulitis is an infection of the eyelid and surrounding soft tissues anterior to the orbital septum.  ,  Viêm mô tế bào quanh hốc mắt là một bệnh nhiễm trùng mí mắt và các mô mềm xung quanh phía trước vách ngăn ổ mắt.,UNOBSERVED,UNOBSERVED,,
splenulus,lách phụ,n," Understanding the temporospatial dynamics of neural activity is crucial for deciphering how the brain processes information, involving the precise timing and location of neuronal firing patterns across different brain regions. ","	Hiểu được động lực học thời-không gian của hoạt động thần kinh là rất quan trọng để giải mã cách não xử lý thông tin, bao gồm thời gian và vị trí chính xác của các kiểu kích hoạt nơron trên các vùng não khác nhau.",UNOBSERVED,UNOBSERVED,,
photophosphorylation,quang phosphoryl hóa,n," During the light-dependent reactions of photosynthesis, photophosphorylation is the crucial metabolic process by which adenosine triphosphate (ATP) is synthesized from adenosine diphosphate (ADP) and inorganic phosphate, utilizing energy captured from sunlight by chlorophyll and other photosynthetic pigments. "," Trong các phản ứng phụ thuộc ánh sáng của quá trình quang hợp, quang phosphoryl hóa là quá trình trao đổi chất quan trọng mà qua đó adenosine triphosphate (ATP) được tổng hợp từ adenosine diphosphate (ADP) và phosphate vô cơ, sử dụng năng lượng thu được từ ánh sáng mặt trời bởi chlorophyll và các sắc tố quang hợp khác.",UNOBSERVED,UNOBSERVED,,
nosophilia,thích mắc bệnh,n,  Nosophilia is an abnormal desire to be ill or to be thought of as ill.  ,  Thích mắc bệnh là một ham muốn bất thường muốn bị bệnh hoặc được cho là bị bệnh.,UNOBSERVED,UNOBSERVED,,
defecation,đại tiện,n, The reflex for defecation is controlled by the lower spinal cord. , Phản xạ đại tiện được kiểm soát bởi tủy sống dưới.,UNOBSERVED,UNOBSERVED,,
starch,hồ,n,  A starch-based poultice can be used to soothe skin irritations.  ,  Một loại thuốc đắp từ hồ tinh bột có thể được sử dụng để làm dịu các kích ứng da.,UNOBSERVED,UNOBSERVED,,
Wolfe graft,mảnh ghép Wolfe,n,"  A Wolfe graft, also known as a full-thickness skin graft, involves transplanting the entire epidermis and dermis from a donor site to a recipient site, commonly used for reconstructing defects where good cosmetic and functional results are desired.  ","  Mảnh ghép Wolfe, còn được gọi là mảnh ghép da toàn lớp, bao gồm việc cấy ghép toàn bộ lớp biểu bì và hạ bì từ vị trí cho đến vị trí nhận, thường được sử dụng để tái tạo các khuyết điểm nơi mong muốn kết quả thẩm mỹ và chức năng tốt.",UNOBSERVED,UNOBSERVED,,
granulosa,lớp hạt,n,"  The granulosa cells form a layer, the stratum granulosum or lớp hạt, lining the ovarian follicle.  ","  Các tế bào lớp hạt (granulosa) tạo thành một lớp, gọi là lớp hạt, lót bên trong nang buồng trứng.",UNOBSERVED,UNOBSERVED,,
lordotic,ưỡn cột sống,a," A lordotic posture, often seen in pregnant women, involves an exaggerated inward curve of the lumbar spine. "," Tư thế ưỡn cột sống, thường thấy ở phụ nữ mang thai, liên quan đến một đường cong vào trong quá mức của cột sống thắt lưng.",UNOBSERVED,UNOBSERVED,,
anthracosilicosis,bụi than silic phổi,n,"Anthracosilicosis is a specific type of pneumoconiosis occurring in coal miners exposed to both coal dust and silica dust, leading to lung fibrosis and respiratory impairment.","Bệnh bụi than silic phổi là một loại bệnh bụi phổi cụ thể xảy ra ở thợ mỏ than tiếp xúc với cả bụi than và bụi silic, dẫn đến xơ hóa phổi và suy giảm hô hấp.",UNOBSERVED,UNOBSERVED,,
Klebsiella ozaenae,vi khuẩn Klebsiella ozaenae,," Klebsiella ozaenae is associated with ozena, a chronic and progressive atrophy of the nasal mucosa. "," Vi khuẩn Klebsiella ozaenae có liên quan đến bệnh trĩ mũi, một tình trạng teo niêm mạc mũi mãn tính và tiến triển.",UNOBSERVED,UNOBSERVED,,
root of nail,gốc móng,n,  Proper nail care involves keeping the root of nail and surrounding cuticle healthy to prevent infections like paronychia and ensure normal nail growth.  ,  Chăm sóc móng đúng cách bao gồm giữ cho gốc móng và lớp biểu bì xung quanh khỏe mạnh để ngăn ngừa nhiễm trùng như viêm quanh móng và đảm bảo móng phát triển bình thường.,UNOBSERVED,UNOBSERVED,,
profibrinolysin,plasminogen,n,  Tissue plasminogen activator (tPA) is an enzyme that converts profibrinolysin (plasminogen) into the active enzyme plasmin.  ,  Chất hoạt hóa plasminogen mô (tPA) là một enzym chuyển đổi profibrinolysin (plasminogen) thành enzym plasmin hoạt động.,UNOBSERVED,UNOBSERVED,,
fibroneuroma,u thần kinh xơ,n,"  A fibroneuroma, also known as neurofibroma, is a tumor of nerve sheath origin containing fibrous elements.  ","  U thần kinh xơ, còn được gọi là u sợi thần kinh, là một khối u có nguồn gốc từ vỏ bọc thần kinh chứa các yếu tố sợi.",UNOBSERVED,UNOBSERVED,,
cathodic,âm cực,a,  The cathodic reaction involves the gain of electrons.  ,  Phản ứng âm cực liên quan đến việc thu nhận các electron.,UNOBSERVED,UNOBSERVED,,
haplophase,đơn bội,n,  The haplophase is the haploid stage in the life cycle of an organism.  ,  Đơn bội (Haplophase) là giai đoạn đơn bội trong chu kỳ sống của một sinh vật.,UNOBSERVED,UNOBSERVED,,
Embden-Meyerhof pathway,con đường Embden-Meyerhof,n,"  The Embden-Meyerhof pathway, also known as glycolysis, is a central metabolic pathway for glucose breakdown.  ","  Con đường Embden-Meyerhof, còn được gọi là đường phân, là một con đường trao đổi chất trung tâm để phân giải glucose.",UNOBSERVED,UNOBSERVED,,
philagrypnia,ít ngũ,n,"  Individuals suffering from severe philagrypnia, a persistent state of wakefulness or an inability to sleep, often experience significant daytime fatigue, impaired cognitive function, and an increased risk for various health problems, necessitating thorough medical evaluation and management. ","  Những người bị chứng ít ngũ nghiêm trọng, một tình trạng tỉnh táo dai dẳng hoặc không có khả năng ngủ, thường trải qua mệt mỏi đáng kể vào ban ngày, suy giảm chức năng nhận thức và tăng nguy cơ mắc các vấn đề sức khỏe khác nhau, đòi hỏi phải đánh giá và quản lý y tế kỹ lưỡng.",UNOBSERVED,UNOBSERVED,,
network,lưới mạng,a," A capillary network surrounds the alveoli, facilitating gas exchange. "," Một lưới mạng mao mạch bao quanh các phế nang, tạo điều kiện cho sự trao đổi khí.",UNOBSERVED,UNOBSERVED,,
synulotic,thành sẹo hoàn toàn,a,  A synulotic agent or treatment aims to promote the complete healing of a wound with minimal and aesthetically acceptable scarring.  ,  Các biện pháp chăm sóc vết thương đúng cách sẽ thúc đẩy quá trình liền sẹo và giúp vết thương thành sẹo hoàn toàn một cách tốt nhất.,UNOBSERVED,UNOBSERVED,,
b inactivator,chất ức chế C,n," An azygous structure is one that is unpaired, existing singly rather than as one of a pair. "," Một cấu trúc không thành đôi là một cấu trúc không bắt cặp, tồn tại đơn lẻ thay vì là một trong một cặp.",UNOBSERVED,UNOBSERVED,,
blennorrhagia,chảy mủ lậu,n, Gonococcal blennorrhagia is a purulent discharge from the urethra or vagina caused by Neisseria gonorrhoeae. , Chảy mủ lậu do lậu cầu là tình trạng chảy mủ từ niệu đạo hoặc âm đạo do Neisseria gonorrhoeae gây ra.,UNOBSERVED,UNOBSERVED,,
tussis,ho,n," Chronic tussis, defined as a cough lasting more than eight weeks, requires a thorough diagnostic workup to identify potential causes ranging from asthma and GERD to more serious conditions like lung cancer. "," Ho mãn tính, được định nghĩa là ho kéo dài hơn tám tuần, đòi hỏi một cuộc kiểm tra chẩn đoán kỹ lưỡng để xác định các nguyên nhân tiềm ẩn từ hen suyễn và GERD đến các tình trạng nghiêm trọng hơn như ung thư phổi.",UNOBSERVED,UNOBSERVED,,
pyocyanogenic,sinh pyocyanin,a,  Pyocyanogenic strains of Pseudomonas are those capable of producing pyocyanin.  ,  Các chủng Pseudomonas sinh pyocyanin là những chủng có khả năng tạo ra pyocyanin.,UNOBSERVED,UNOBSERVED,,
internal ophthalmoplegia,liệt nhãn cơ nội,n,"  Internal ophthalmoplegia involves paralysis of the iris sphincter and ciliary muscle, affecting pupil constriction and accommodation.  ","  Liệt nhãn cơ nội bao gồm liệt cơ thắt mống mắt và cơ thể mi, ảnh hưởng đến sự co đồng tử và điều tiết.",UNOBSERVED,UNOBSERVED,,
edulcorant,làm dịu vị,"n,a", An edulcorant is a substance added to medicine to mask an unpleasant taste. , Một chất làm dịu vị là một chất được thêm vào thuốc để che đi vị khó chịu.,UNOBSERVED,UNOBSERVED,,
phospholipidemia,phospholipid huyết,,"  Phospholipidemia refers to the presence of phospholipids in the blood, and abnormal levels can be associated with lipid disorders.  ","  Phospholipid huyết đề cập đến sự hiện diện của phospholipid trong máu, và nồng độ bất thường có thể liên quan đến các rối loạn lipid.",UNOBSERVED,UNOBSERVED,,
intradermal,nội chân bì,a,  The Mantoux test involves an intradermal injection of tuberculin protein.  ,  Xét nghiệm Mantoux bao gồm việc tiêm nội chân bì protein tuberculin.,UNOBSERVED,UNOBSERVED,,
visceral peritoneum,màng phúc mạc tạng,n,"  The visceral peritoneum is the layer of peritoneum that enfolds the abdominal and pelvic organs, suspending them within the peritoneal cavity and providing pathways for blood vessels, nerves, and lymphatics.  ","  Màng phúc mạc tạng là lớp phúc mạc bao bọc các cơ quan trong ổ bụng và tiểu khung, treo chúng trong khoang phúc mạc và cung cấp đường đi cho các mạch máu, dây thần kinh và mạch bạch huyết.",UNOBSERVED,UNOBSERVED,,
intralobar,trong thùy,a,  Intralobar sequestration is a congenital lung malformation where a segment of lung tissue is not connected to the bronchial tree.  ,"  Biệt trí phổi trong thùy là một dị tật bẩm sinh của phổi, trong đó một đoạn mô phổi không nối với cây phế quản.",UNOBSERVED,UNOBSERVED,,
chick-pea,đậu mỏ két,n," The chick-pea, or garbanzo bean, is a nutritious legume. "," Đậu mỏ két, hay đậu garbanzo, là một loại đậu bổ dưỡng.",UNOBSERVED,UNOBSERVED,,
extraembryonic,ngoài phôi,a, The yolk sac is an example of an extraembryonic membrane that provides nourishment to the developing embryo. , Túi noãn hoàng là một ví dụ về màng ngoài phôi cung cấp dinh dưỡng cho phôi đang phát triển.,UNOBSERVED,UNOBSERVED,,
dendritic,sợi nhánh,a, The dendritic processes of a neuron greatly increase its surface area for receiving synaptic inputs. , Các quá trình sợi nhánh của một tế bào thần kinh làm tăng đáng kể diện tích bề mặt của nó để nhận các đầu vào synap.,UNOBSERVED,UNOBSERVED,,
hypersensitization,làm tăng quá mẫn,n," The goal of allergy shots is often desensitization, not hypersensitization. "," Mục tiêu của tiêm giải mẫn cảm dị ứng thường là giải mẫn cảm, không phải làm tăng quá mẫn.",UNOBSERVED,UNOBSERVED,,
prosopoanoschisis,nạo xoang mũi,n,"  Prosopoanoschisis is a severe congenital facial cleft, which might require extensive surgical repair similar to a nạo xoang mũi in complexity.  ","  Nứt mặt bẩm sinh rộng (prosopoanoschisis) là một khe hở mặt bẩm sinh nghiêm trọng, có thể đòi hỏi phẫu thuật sửa chữa phức tạp tương tự như nạo xoang mũi về độ phức tạp.",UNOBSERVED,UNOBSERVED,,
insecticide,diệt côn trùng,"n,a",  Proper use of insecticide can help control populations of disease-vectoring insects.  ,  Sử dụng thuốc diệt côn trùng đúng cách có thể giúp kiểm soát quần thể côn trùng truyền bệnh.,UNOBSERVED,UNOBSERVED,,
milky ascites,cổ trướng sữa,n,"  Milky ascites, or chylous ascites, is the accumulation of chyle (lymphatic fluid rich in triglycerides) in the peritoneal cavity, giving it a milky appearance.  ","  Cổ trướng sữa, hay cổ trướng dưỡng chấp, là sự tích tụ dưỡng chấp (dịch bạch huyết giàu triglyceride) trong khoang phúc mạc, khiến nó có màu trắng đục như sữa.",UNOBSERVED,UNOBSERVED,,
Klumpke-Dejerine syndrome,liệt kiểu Klumpke,n, The Klumpke-Dejerine syndrome results from injury to the inferior trunk of the brachial plexus. , Liệt kiểu Klumpke (Klumpke-Dejerine syndrome) là kết quả của tổn thương thân dưới đám rối cánh tay.,UNOBSERVED,UNOBSERVED,,
adrenoleucodystrophy,loạn dưỡng chất trắng não,,  Lorenzo's oil has been studied as a potential treatment to slow the progression of adrenoleukodystrophy.  ,  Dầu Lorenzo đã được nghiên cứu như một phương pháp điều trị tiềm năng để làm chậm sự tiến triển của bệnh loạn dưỡng chất trắng não.,UNOBSERVED,UNOBSERVED,,
Graham Steell murmur,tiếng thổi Graham Steell,n,"  A Graham Steell murmur is a high-pitched, early diastolic murmur heard best at the left sternal border, indicative of pulmonary regurgitation.  ","  Tiếng thổi Graham Steell là một tiếng thổi cao tần, đầu tâm trương nghe rõ nhất ở bờ trái xương ức, biểu hiện của hở van động mạch phổi.",UNOBSERVED,UNOBSERVED,,
tonsillar crypts,hốc amiđan,n," Chronic or recurrent tonsillitis is often associated with the accumulation of debris and bacteria within the tonsillar crypts, which are deep invaginations on the surface of the palatine tonsils. "," Viêm amidan mạn tính hoặc tái phát thường liên quan đến sự tích tụ các mảnh vụn và vi khuẩn trong các hốc amiđan, là những chỗ lõm sâu trên bề mặt của amidan khẩu cái.",UNOBSERVED,UNOBSERVED,,
hypokinesis,thiểu động,n," Hypokinesis, or thiểu động, refers to abnormally decreased motor function or activity. "," Thiểu động, hay giảm vận động, đề cập đến chức năng hoặc hoạt động vận động giảm sút bất thường.",UNOBSERVED,UNOBSERVED,,
ectoglia,lớp thần kinh đệm ngoài,n," The ectoglia, or external limiting membrane, is formed by the end-feet of Müller cells in the retina. "," Lớp thần kinh đệm ngoài, hay màng giới hạn ngoài, được hình thành bởi các chân cuối của tế bào Müller trong võng mạc.",UNOBSERVED,UNOBSERVED,,
splenization,tỳ dạng hóa,n," Telotaxis is a directed movement of an organism or cell towards or away from a stimulus source, such as light or a chemical gradient, where the orientation is achieved by successively comparing stimulus intensity over time or space. ","	Định hướng có mục đích là một chuyển động có hướng của một sinh vật hoặc tế bào về phía hoặc ra xa một nguồn kích thích, chẳng hạn như ánh sáng hoặc một gradient hóa học, trong đó sự định hướng đạt được bằng cách so sánh liên tiếp cường độ kích thích theo thời gian hoặc không gian.",UNOBSERVED,UNOBSERVED,,
