English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
ferri,sắt,n,"  The chemical symbol for ferri-iron, which is iron in the +3 oxidation state, is Fe³⁺.  ","  Ký hiệu hóa học của sắt ferri, tức là sắt ở trạng thái oxy hóa +3, là Fe³⁺.",UNOBSERVED,UNOBSERVED
aerogel,gel khí,n,Researchers are exploring the use of biocompatible aerogel materials for advanced wound dressings and drug delivery systems.,Các nhà nghiên cứu đang khám phá việc sử dụng vật liệu gel khí (aerogel) tương thích sinh học cho các hệ thống băng vết thương tiên tiến và phân phối thuốc.,UNOBSERVED,UNOBSERVED
pernio,cước,n," Exposure to cold, damp conditions can trigger pernio, also known as chilblains, which are painful, itchy inflammatory lesions on the skin, typically affecting the extremities like fingers and toes. "," Tiếp xúc với điều kiện lạnh, ẩm ướt có thể gây ra cước, còn được gọi là chilblains, là những tổn thương viêm đau, ngứa trên da, thường ảnh hưởng đến các chi như ngón tay và ngón chân.",UNOBSERVED,UNOBSERVED
disseminated,tỏa lan,a, Disseminated intravascular coagulation is a life-threatening condition characterized by widespread clotting and subsequent bleeding. ," Đông máu nội mạch phát tán là một tình trạng đe dọa tính mạng, đặc trưng bởi sự đông máu lan rộng và chảy máu sau đó.",UNOBSERVED,UNOBSERVED
depurator,dụng cụ tẩy uế,n, The ancient ritual involved a ceremonial depurator to cleanse the sacred space. , Nghi lễ cổ xưa bao gồm một dụng cụ tẩy uế nghi lễ để làm sạch không gian thiêng liêng.,UNOBSERVED,UNOBSERVED
electron capture,bắt giữ điện tử,v,"  In some types of radioactive decay, electron capture occurs when an orbital electron is captured by the nucleus.  ","  Trong một số loại phân rã phóng xạ, sự bắt giữ điện tử xảy ra khi một điện tử quỹ đạo bị hạt nhân bắt giữ.",UNOBSERVED,UNOBSERVED
benzoate,benzoat,n," Sodium benzoate is widely used as a food preservative due to its ability to inhibit the growth of bacteria, yeasts, and molds. "," Natri benzoat được sử dụng rộng rãi làm chất bảo quản thực phẩm do khả năng ức chế sự phát triển của vi khuẩn, nấm men và nấm mốc.",UNOBSERVED,UNOBSERVED
bloodless,thiếu máu,a,  The patient's bloodless appearance was a sign of severe anemia.  ,  Vẻ ngoài thiếu máu của bệnh nhân là một dấu hiệu của bệnh thiếu máu nặng.,UNOBSERVED,UNOBSERVED
histoid,độc nhất một loại mô,a,  A histoid tumor is one that is composed of a single type of tissue.  ,  Một khối u độc nhất một loại mô là khối u được cấu tạo từ một loại mô duy nhất.,UNOBSERVED,UNOBSERVED
urologic,niệu học,a,  The patient was referred to a urologic specialist for further evaluation and management of recurrent kidney stones.  ,  Bệnh nhân được giới thiệu đến một chuyên gia niệu học để đánh giá thêm và quản lý sỏi thận tái phát.,UNOBSERVED,UNOBSERVED
Morgagni-Adams-Stokes syndrome,hội chứng Morgagni-Adams-Stokes,n,"  Morgagni-Adams-Stokes syndrome, now more commonly Adams-Stokes syndrome, is characterized by sudden fainting spells due to cardiac arrhythmia.  ","  Hội chứng Morgagni-Adams-Stokes, ngày nay thường được gọi là hội chứng Adams-Stokes, được đặc trưng bởi các cơn ngất đột ngột do rối loạn nhịp tim.",UNOBSERVED,UNOBSERVED
"thoracic aperture, superior",lỗ hổng ở ngực trên,,"  The superior thoracic aperture is the opening at the top of the chest, also known as the thoracic inlet.  ","  Lỗ hổng ở ngực trên là lỗ mở ở đỉnh ngực, còn được gọi là lối vào lồng ngực.",UNOBSERVED,UNOBSERVED
peritonealize,phủ bằng màng bụng,v," During pelvic surgery, the surgeon may need to peritonealize raw surfaces by covering them with peritoneum to prevent adhesions and promote healing. "," Trong quá trình phẫu thuật vùng chậu, bác sĩ phẫu thuật có thể cần phủ bằng màng bụng các bề mặt thô bằng cách bao phủ chúng bằng phúc mạc để ngăn ngừa dính và thúc đẩy quá trình lành thương.",UNOBSERVED,UNOBSERVED
Danbolt-Closs syndrome,hội chứng Danbolt-Closs,n,"  Acrodermatitis enteropathica, also known as Danbolt-Closs syndrome, is a rare genetic disorder of zinc absorption.  ","  Viêm da đầu chi ruột, còn được gọi là hội chứng Danbolt-Closs, là một rối loạn di truyền hiếm gặp về hấp thu kẽm.",UNOBSERVED,UNOBSERVED
acyanoblepsia,mù màu lam,n, Acyanoblepsia is a form of color blindness characterized by the inability to perceive the color blue. ,Mù màu lam là một dạng mù màu đặc trưng bởi việc không có khả năng cảm nhận màu xanh lam.,UNOBSERVED,UNOBSERVED
angioedema,phù mạch thần kinh,,"  Angioedema is a rapid swelling of the deep layers of skin, often affecting the face and lips.  ","  Phù mạch thần kinh là một tình trạng sưng nhanh các lớp sâu của da, thường ảnh hưởng đến mặt và môi.",UNOBSERVED,UNOBSERVED
reduplication,lặp lại,n,  Complete refection of his strength took several weeks after the severe illness.  ,  Việc phục hồi hoàn toàn sức lực của anh đã mất vài tuần sau cơn bệnh nặng.,UNOBSERVED,UNOBSERVED
cacogenesis,phát triển xấu,n, Cacogenesis refers to abnormal or defective development. ,Phát triển xấu đề cập đến sự phát triển bất thường hoặc khiếm khuyết.,UNOBSERVED,UNOBSERVED
syntenosis,khớp có dây chằng,n,"  A syntenosis is a type of joint where bones are connected primarily by ligaments or tendinous structures, allowing for a specific range of motion and providing stability, such as in certain articulations of the foot.  ","  Khớp có dây chằng (ví dụ khớp bán động) là loại khớp mà các xương được nối với nhau bằng hệ thống dây chằng, cho phép một mức độ cử động nhất định và đảm bảo sự vững chắc cho khớp.",UNOBSERVED,UNOBSERVED
Roux-en-Y operation,sự nối mạch hình chứ Y bao gồm ruột non,n,"  The Roux-en-Y operation is frequently performed to reconstruct the alimentary tract after gastrectomy or to bypass obstructions, involving the creation of a Y-shaped intestinal limb that diverts contents away from one segment and into another.  ","  Sự nối mạch hình chữ Y bao gồm ruột non, hay phẫu thuật Roux-en-Y, thường được thực hiện để tái tạo đường tiêu hóa sau phẫu thuật cắt dạ dày hoặc để bắc cầu qua các chỗ tắc nghẽn, bao gồm việc tạo ra một nhánh ruột hình chữ Y chuyển hướng các chất chứa từ một đoạn này sang một đoạn khác.",UNOBSERVED,UNOBSERVED
thrush,tưa,n,  Oral thrush is a yeast infection of the mouth caused by Candida albicans.  ,  Tưa miệng là một bệnh nhiễm nấm men ở miệng do Candida albicans gây ra.,UNOBSERVED,UNOBSERVED
Nothnagel syndrome,hội chứng Nothnagel,n,"  Nothnagel syndrome is a rare neurological disorder caused by a lesion in the midbrain, characterized by oculomotor palsy and cerebellar ataxia.  ","  Hội chứng Nothnagel là một rối loạn thần kinh hiếm gặp do tổn thương ở não giữa, đặc trưng bởi liệt vận nhãn và thất điều tiểu não.",UNOBSERVED,UNOBSERVED
supraintestinal,trên ruột,a,"  While most digestive processes occur within the intestines, the supraintestinal structures like the stomach and esophagus play crucial roles in the initial breakdown and transport of food.  ","  Trong khi hầu hết các quá trình tiêu hóa xảy ra bên trong ruột, các cấu trúc trên ruột như dạ dày và thực quản đóng vai trò quan trọng trong việc phân hủy ban đầu và vận chuyển thức ăn.",UNOBSERVED,UNOBSERVED
amphigastrula,phôi vị lưỡng cực,n,"An amphigastrula is a type of gastrula formed through epiboly or invagination, possessing distinct cell layers.","Phôi vị lưỡng cực là một loại phôi vị được hình thành thông qua quá trình phủ ngoài hoặc lõm vào, sở hữu các lớp tế bào riêng biệt.",UNOBSERVED,UNOBSERVED
vectorscope,đọc vectơ điện tâm đồ,n," A specialized display device, known as a vectorscope, can be used in medical imaging or signal processing to visualize and analyze vectorial data, such as that derived from a vectorcardiogram. "," Một thiết bị hiển thị chuyên dụng, được gọi là đọc vectơ điện tâm đồ, có thể được sử dụng trong chẩn đoán hình ảnh y tế hoặc xử lý tín hiệu để hình dung và phân tích dữ liệu vectơ, chẳng hạn như dữ liệu thu được từ vectơ điện tâm đồ.",UNOBSERVED,UNOBSERVED
reagent,thuốc thử,n,  The laboratory technician added a reagent to the blood sample to test for the presence of antibodies.  ,  Kỹ thuật viên phòng thí nghiệm đã thêm một thuốc thử vào mẫu máu để kiểm tra sự hiện diện của kháng thể.,UNOBSERVED,UNOBSERVED
tungiasis,bệnh da do Tunga penetrans,n," Tungiasis, a parasitic skin disease caused by the burrowing flea Tunga penetrans, can lead to severe inflammation, ulceration, and secondary bacterial infections if left untreated. "," Bệnh da do Tunga penetrans, một bệnh ngoài da ký sinh do bọ chét đào hang Tunga penetrans gây ra, có thể dẫn đến viêm nặng, loét và nhiễm khuẩn thứ phát nếu không được điều trị.",UNOBSERVED,UNOBSERVED
flexuose,uốn khúc,a," Arteries in certain locations, such as the splenic artery or uterine arteries, exhibit a flexuose or tortuous path, which may accommodate movement of adjacent organs or changes in physiological state. ","Các động mạch ở một số vị trí nhất định, chẳng hạn như động mạch lách hoặc động mạch tử cung, có đường đi uốn khúc hoặc ngoằn ngoèo, có thể thích ứng với sự di chuyển của các cơ quan lân cận hoặc những thay đổi trong trạng thái sinh lý.",UNOBSERVED,UNOBSERVED
maturation arrest,ngưng trưởng thành,n,  Maturation arrest in spermatogenesis can lead to male infertility.  ,  Ngưng trưởng thành trong quá trình sinh tinh có thể dẫn đến vô sinh nam.,UNOBSERVED,UNOBSERVED
uromancy,tiên lượng bệnh bằng kiểm niệu,n,"  Historically, uromancy, or uroscopy, involved attempting to divine a patient's health or future by visually inspecting their urine, a practice now considered unscientific.  ","  Trong lịch sử, tiên lượng bệnh bằng kiểm niệu, hay soi nước tiểu, bao gồm việc cố gắng tiên đoán sức khỏe hoặc tương lai của bệnh nhân bằng cách kiểm tra trực quan nước tiểu của họ, một thực hành hiện được coi là phi khoa học.",UNOBSERVED,UNOBSERVED
atopic eczema,viêm da cơ địa,n," Atopic eczema, also known as atopic dermatitis, is a chronic inflammatory skin condition characterized by itchy, red, and swollen skin. ","Viêm da cơ địa , còn được gọi là viêm da dị ứng, là một tình trạng viêm da mãn tính đặc trưng bởi da ngứa, đỏ và sưng.",UNOBSERVED,UNOBSERVED
leukokeratosis,bạch sản,n,"  Oral hairy leukokeratosis is a white, corrugated lesion on the lateral borders of the tongue, often associated with Epstein-Barr virus infection in immunocompromised individuals.  ","  Bạch sản lông ở miệng là một tổn thương màu trắng, có nếp gấp ở bờ bên của lưỡi, thường liên quan đến nhiễm virus Epstein-Barr ở những người bị suy giảm miễn dịch.",UNOBSERVED,UNOBSERVED
echinoderm,động vật da gai,n, Starfish and sea urchins are examples of echinoderm species. , Sao biển và nhím biển là những ví dụ về các loài động vật da gai.,UNOBSERVED,UNOBSERVED
webbed neck,"cổ ngắn, có màng",," A webbed neck is a characteristic feature of Turner syndrome, where excess skin folds run along the sides of the neck. "," Cổ ngắn, có màng là một đặc điểm đặc trưng của hội chứng Turner, trong đó các nếp da thừa chạy dọc hai bên cổ.",UNOBSERVED,UNOBSERVED
andrology,khoa nam,n," Andrology is the medical specialty that deals with male health, particularly relating to the problems of the male reproductive system and urological problems that are unique to men. "," Khoa nam là chuyên khoa y tế занимающийся sức khỏe nam giới, đặc biệt liên quan đến các vấn đề của hệ thống sinh sản nam và các vấn đề tiết niệu chỉ có ở nam giới.",UNOBSERVED,UNOBSERVED
antipyresis,hạ nhiệt,n,The mechanism of antipyresis for drugs like aspirin involves inhibiting prostaglandin synthesis in the hypothalamus.,Cơ chế hạ nhiệt (antipyresis) của các loại thuốc như aspirin liên quan đến việc ức chế tổng hợp prostaglandin ở vùng dưới đồi.,UNOBSERVED,UNOBSERVED
supine,nằm ngữa,a,"  For certain surgical procedures on the anterior aspect of the body, such as abdominal surgeries, the patient is typically placed in a supine position on the operating table.  ","  Đối với một số thủ thuật phẫu thuật ở mặt trước của cơ thể, chẳng hạn như phẫu thuật bụng, bệnh nhân thường được đặt ở tư thế nằm ngửa trên bàn mổ.",UNOBSERVED,UNOBSERVED
lipophagia,loạn dưỡng mỡ ruột,n,"  Intestinal lipophagia, or Whipple's disease, is a rare bacterial infection affecting the small intestine and other organs, characterized by malabsorption and accumulation of lipid-laden macrophages.  ","  Loạn dưỡng mỡ ruột (intestinal lipophagia), hay bệnh Whipple, là một bệnh nhiễm khuẩn hiếm gặp ảnh hưởng đến ruột non và các cơ quan khác, đặc trưng bởi kém hấp thu và tích tụ các đại thực bào chứa đầy lipid.",UNOBSERVED,UNOBSERVED
anorthoscope,kính nhược thị,n,"While not a standard ophthalmic device today, historically, an anorthoscope might have been an instrument designed to demonstrate visual illusions or potentially aid in diagnosing distorted vision (anorthopia), not typically used like modern treatments for amblyopia ('nhược thị').","Mặc dù không phải là một thiết bị nhãn khoa tiêu chuẩn ngày nay, trong lịch sử, kính nhược thị (anorthoscope) có thể là một dụng cụ được thiết kế để minh họa ảo ảnh thị giác hoặc có khả năng hỗ trợ chẩn đoán thị lực méo mó (anorthopia), không thường được sử dụng như các phương pháp điều trị hiện đại cho nhược thị.",UNOBSERVED,UNOBSERVED
aortocoronary,động mạch chủ động mạch vành,,  An aortocoronary bypass is another term for coronary artery bypass surgery.  ,  Bắc cầu động mạch chủ động mạch vành là một thuật ngữ khác để chỉ phẫu thuật bắc cầu động mạch vành.,UNOBSERVED,UNOBSERVED
Ivy loop wiring,nút Ivy,n,  Ivy loop wiring is a technique used for intermaxillary fixation in jaw fractures.  ,  Nút Ivy là một kỹ thuật được sử dụng để cố định liên hàm trong các trường hợp gãy xương hàm.,UNOBSERVED,UNOBSERVED
external orifice of urethra,lỗ ngoài niệu đạo,n, The external orifice of urethra is the opening of the urethra to the outside of the body. , Lỗ ngoài niệu đạo là lỗ mở của niệu đạo ra bên ngoài cơ thể.,UNOBSERVED,UNOBSERVED
pneumatology,khí lực học,n,"  In an older medical context, pneumatology referred to the study of gases and their therapeutic uses.  ","  Trong bối cảnh y học cũ hơn, khí lực học đề cập đến việc nghiên cứu các loại khí và công dụng trị liệu của chúng.",UNOBSERVED,UNOBSERVED
aeriferous,dẫn không khí,a, The respiratory system provides an aeriferous pathway for air to reach the lungs. ,Hệ hô hấp cung cấp một đường dẫn dẫn không khí để không khí đến phổi.,UNOBSERVED,UNOBSERVED
nigral,liềm đen,a,  Degeneration of nigral neurons is a hallmark of Parkinson's disease.  ,  Sự thoái hóa của các tế bào thần kinh thuộc liềm đen là một đặc điểm nổi bật của bệnh Parkinson.,UNOBSERVED,UNOBSERVED
technetium Tc,technetium Tc-99m HSA,,  Technetium Tc-99m HSA is used for blood pool imaging to evaluate cardiac function.  ,  Technetium Tc-99m HSA được sử dụng để chụp ảnh hồ máu nhằm đánh giá chức năng tim.,UNOBSERVED,UNOBSERVED
EOG,điện khứu đồ,n," An EOG was conducted to assess the integrity of the olfactory pathways in a patient complaining of anosmia following a head injury, providing objective data on their sense of smell. "," Một xét nghiệm Điện khứu đồ đã được thực hiện để đánh giá tính toàn vẹn của các đường dẫn khứu giác ở một bệnh nhân phàn nàn về chứng mất khứu giác sau chấn thương đầu, cung cấp dữ liệu khách quan về khả năng ngửi của họ.",UNOBSERVED,UNOBSERVED
glycogeusia,ngọt miệng,n,  Glycogeusia is a rare condition where individuals perceive a sweet taste in their mouth without ingesting sweet substances.  ,  Ngọt miệng là một tình trạng hiếm gặp trong đó các cá nhân cảm nhận được vị ngọt trong miệng mà không ăn các chất ngọt.,UNOBSERVED,UNOBSERVED
saccus endolymphaticus,túi nội dịch,n," The saccus endolymphaticus, or endolymphatic sac, is a blind pouch located in the dura mater on the posterior surface of the petrous temporal bone, believed to play a role in regulating the volume and pressure of endolymph within the inner ear. "," Túi nội dịch, hay saccus endolymphaticus, là một túi bịt nằm trong màng cứng ở mặt sau của xương đá thái dương, được cho là có vai trò điều chỉnh thể tích và áp suất của nội dịch trong tai trong.",UNOBSERVED,UNOBSERVED
enterococcus,tràng cầu khuẩn,n,  Enterococcus species are part of the normal gut flora but can cause opportunistic infections.  ,  Các loài tràng cầu khuẩn là một phần của hệ vi khuẩn đường ruột bình thường nhưng có thể gây nhiễm trùng cơ hội.,UNOBSERVED,UNOBSERVED
entamebiasis,bệnh ký sinh trùng entamoeba,n,  Entamebiasis is an intestinal illness caused by infection with the protozoan parasite Entamoeba histolytica.  ,  Bệnh ký sinh trùng entamoeba là một bệnh đường ruột do nhiễm ký sinh trùng đơn bào Entamoeba histolytica.,UNOBSERVED,UNOBSERVED
cancroid,ung thư biểu mô,"n,a"," Epithelioma cuniculatum is a rare, slow-growing cancroid (type of squamous cell carcinoma) typically found on the sole of the foot. ","Epithelioma cuniculatum là một loại ung thư biểu mô hiếm gặp, phát triển chậm, thường thấy ở lòng bàn chân.",UNOBSERVED,UNOBSERVED
Aceraria,một loài bướm đêm,n, The Aceraria moth is a species whose larvae may feed on specific plants. , Bướm đêm Aceraria là một loài bướm đêm mà ấu trùng của nó có thể ăn các loại thực vật cụ thể.,UNOBSERVED,UNOBSERVED
periphrenitis,viêm quanh cơ hoành,n,  Periphrenitis is inflammation of the tissues surrounding the diaphragm.  ,  Viêm quanh cơ hoành là tình trạng viêm các mô xung quanh cơ hoành.,UNOBSERVED,UNOBSERVED
Influenzavirus A,virus Influenzavirus A,n,  Different subtypes of Influenzavirus A are responsible for most seasonal flu outbreaks.  ,  Các phân nhóm khác nhau của virus Influenzavirus A là nguyên nhân gây ra hầu hết các đợt bùng phát cúm mùa.,UNOBSERVED,UNOBSERVED
cavity of concha,hõm cửa tai,n,  The cavity of concha is the depression leading towards the external auditory meatus.  ,  Hõm cửa tai là chỗ lõm dẫn đến ống tai ngoài.,UNOBSERVED,UNOBSERVED
basidia,bào tử nấm Basidiomycete,n, Mushrooms produce spores on specialized structures called basidia. , Nấm tạo ra bào tử trên các cấu trúc chuyên biệt gọi là bào tử nấm Basidiomycete (đảm).,UNOBSERVED,UNOBSERVED
bradycrotic,mạch chậm,a, A bradycrotic pulse is characterized by a slow beat. ,  Mạch mạch chậm được đặc trưng bởi nhịp đập chậm.,UNOBSERVED,UNOBSERVED
phrenetic,người hưng cảm,"n,a"," In older psychiatric terminology, a phrenetic state referred to a condition of violent excitement, delirium, or frenzy, often associated with high fever or severe mental illness, indicative of a profound disturbance of the mind. ","Trong thuật ngữ tâm thần học cũ hơn, trạng thái hưng cảm đề cập đến một tình trạng kích động dữ dội, mê sảng hoặc điên cuồng, thường liên quan đến sốt cao hoặc bệnh tâm thần nặng, cho thấy một sự rối loạn sâu sắc của tâm trí.",UNOBSERVED,UNOBSERVED
auricle,loa tai,n, The shape of the auricle helps to funnel sound into the ear canal. ,Hình dạng của loa tai giúp hướng âm thanh vào ống tai.,UNOBSERVED,UNOBSERVED
LOH,mất tính dị hợp tử,n,"  LOH (Loss of Heterozygosity) is a common genetic event in cancer where one allele of a gene is lost, potentially unmasking a recessive mutation on the other allele.  ","  Mất tính dị hợp tử (LOH) là một sự kiện di truyền phổ biến trong ung thư, trong đó một alen của một gen bị mất, có khả năng bộc lộ một đột biến lặn trên alen còn lại.",UNOBSERVED,UNOBSERVED
cisternography,chụp bể đáy não,n, Cisternography is a diagnostic imaging procedure used to evaluate the circulation of cerebrospinal fluid. , Chụp bể đáy não là một thủ thuật chẩn đoán hình ảnh được sử dụng để đánh giá sự lưu thông của dịch não tủy.,UNOBSERVED,UNOBSERVED
trabeculectomy,cắt bỏ bè,n," Trabeculectomy is a surgical procedure performed to lower intraocular pressure in glaucoma patients by creating a new drainage channel for aqueous humor, thereby facilitating its outflow from the eye. "," Cắt bỏ bè là một thủ thuật phẫu thuật được thực hiện để giảm áp lực nội nhãn ở bệnh nhân tăng nhãn áp bằng cách tạo ra một kênh dẫn lưu mới cho thủy dịch, do đó tạo điều kiện cho dòng chảy của nó ra khỏi mắt.",UNOBSERVED,UNOBSERVED
nephrocolic,đau quặn thận,"n,a"," Nephrocolic pain refers to severe, intermittent pain originating in the kidney and often radiating to the groin, characteristic of kidney stones. "," Đau quặn thận là cơn đau dữ dội, ngắt quãng bắt nguồn từ thận và thường lan xuống bẹn, đặc trưng của sỏi thận.",UNOBSERVED,UNOBSERVED
kinesis,vận động,suff., The study of muscle kinesis involves analyzing how muscles produce movement. , Nghiên cứu về vận động cơ bao gồm phân tích cách cơ bắp tạo ra chuyển động.,UNOBSERVED,UNOBSERVED
Amanita toxin,độc tố Amanita,n, Ingestion of certain mushrooms can lead to poisoning due to Amanita toxin. , Việc ăn phải một số loại nấm có thể dẫn đến ngộ độc do độc tố Amanita.,UNOBSERVED,UNOBSERVED
frotteur,dâm dục cọ xát,n,  A frotteur engages in non-consensual rubbing against others for sexual gratification.  ,  Một người dâm dục cọ xát tham gia vào việc cọ xát không có sự đồng thuận vào người khác để thỏa mãn tình dục.,UNOBSERVED,UNOBSERVED
Lamictal,thuốc chống co giật,n,  Lamictal is an anticonvulsant medication also used as a mood stabilizer in bipolar disorder.  ,"  Lamotrigine, được biết đến với biệt dược Lamictal, là một thuốc chống co giật cũng được sử dụng như một chất ổn định khí sắc trong rối loạn lưỡng cực.",UNOBSERVED,UNOBSERVED
Pindborg tumor,u Pindborg,n,"  The Pindborg tumor, or calcifying epithelial odontogenic tumor (CEOT), is a rare, benign but locally invasive odontogenic neoplasm characterized by amyloid-like deposits that may calcify.  ","  U Pindborg, hay u biểu mô răng vôi hóa (CEOT), là một khối u tân sinh răng hiếm gặp, lành tính nhưng xâm lấn tại chỗ, đặc trưng bởi sự lắng đọng giống amyloid có thể bị vôi hóa.",UNOBSERVED,UNOBSERVED
physiologic,bình thường,a,  The patient's heart rate and breathing were within physiologic limits.  ,  Nhịp tim và nhịp thở của bệnh nhân nằm trong giới hạn bình thường.,UNOBSERVED,UNOBSERVED
pseudogeusesthesia,vị giác ảo,n,  Pseudogeusesthesia is a false or distorted sense of taste.  ,  Vị giác ảo (pseudogeusesthesia) là một cảm giác vị giác sai lệch hoặc bị bóp méo.,UNOBSERVED,UNOBSERVED
superantigen,siêu kháng nguyên,n,"  A superantigen is a type of microbial toxin that can activate a large number of T cells nonspecifically, leading to a massive release of cytokines and potentially causing a systemic inflammatory response syndrome like toxic shock syndrome. ","  Một siêu kháng nguyên là một loại độc tố vi khuẩn có thể kích hoạt một số lượng lớn tế bào T một cách không đặc hiệu, dẫn đến giải phóng hàng loạt cytokine và có khả năng gây ra hội chứng phản ứng viêm toàn thân như hội chứng sốc nhiễm độc.",UNOBSERVED,UNOBSERVED
calculous cholecystitis,viêm túi mật có sỏi,n, Calculous cholecystitis is inflammation of the gallbladder caused by gallstones. , Viêm túi mật có sỏi là tình trạng viêm túi mật do sỏi mật gây ra.,UNOBSERVED,UNOBSERVED
hypercapnic,tăng thán huyết,, The ventilator settings were adjusted to correct the patient's hypercapnic state. , Các cài đặt máy thở đã được điều chỉnh để khắc phục tình trạng tăng thán huyết của bệnh nhân.,UNOBSERVED,UNOBSERVED
hexatomic,sáu nguyên tử,a,  A molecule described as hexatomic contains six atoms.  ,  Một phân tử được mô tả là sáu nguyên tử chứa sáu nguyên tử.,UNOBSERVED,UNOBSERVED
galeotomy,mở mạc trên sọ,n,"  Galeotomy is synonymous with galeatomy, the surgical incision of the galea aponeurotica.  ","  Mở mạc trên sọ (Galeotomy) đồng nghĩa với galeatomy, tức là rạch phẫu thuật cân trên sọ.",UNOBSERVED,UNOBSERVED
cavovarus,lõm vẹo vào,n,  Correction of a cavovarus foot often requires surgical intervention.  ,  Việc điều chỉnh bàn chân lõm vẹo vào thường đòi hỏi can thiệp phẫu thuật.,UNOBSERVED,UNOBSERVED
LTF,yếu tố biến đổi lympho bào,n," LTF, or lymphocyte transforming factor, is a lymphokine that can induce lymphocyte proliferation. "," Yếu tố biến đổi lympho bào (LTF), hay lymphokine, có thể gây tăng sinh tế bào lympho.",UNOBSERVED,UNOBSERVED
rectouterinus muscle,cơ trực tràng - tử cung,n,"  The rectouterinus muscle, part of the uterosacral ligament complex, consists of fibromuscular strands extending from the cervix to the sacrum, passing on either side of the rectum and providing support to the uterus. ","  Cơ trực tràng - tử cung, một phần của phức hợp dây chằng tử cung-cùng, bao gồm các dải xơ cơ kéo dài từ cổ tử cung đến xương cùng, đi qua hai bên trực tràng và hỗ trợ tử cung.",UNOBSERVED,UNOBSERVED
eye socket,hốc mắt,n," The orbit, or eye socket, is the bony cavity that contains the eyeball and its associated structures. "," Hốc mắt, hay ổ mắt, là khoang xương chứa nhãn cầu và các cấu trúc liên quan của nó.",UNOBSERVED,UNOBSERVED
sensorium,tri giác,n,"  Fever can sometimes alter a patient's sensorium, causing confusion or hallucinations.  ","  Sốt đôi khi có thể làm thay đổi tri giác của bệnh nhân, gây ra lú lẫn hoặc ảo giác.",UNOBSERVED,UNOBSERVED
eclecticism,chiết trung,n," Modern medicine often combines traditional remedies with scientific evidence, an approach that reflects a certain eclecticism. "," Y học hiện đại thường kết hợp các phương thuốc truyền thống với bằng chứng khoa học, một cách tiếp cận phản ánh chủ nghĩa chiết trung nhất định.",UNOBSERVED,UNOBSERVED
investment cast,đúc bằng mẫu chảy,n,  The intricate metal component was produced using an investment cast process.  ,  Bộ phận kim loại phức tạp được sản xuất bằng quy trình đúc bằng mẫu chảy.,UNOBSERVED,UNOBSERVED
perivaginal,quanh âm đạo,a," A perivaginal hematoma, a collection of blood in the tissues surrounding the vagina, can occur as a complication of childbirth or pelvic trauma and may require surgical evacuation. "," Khối máu tụ quanh âm đạo, một khối máu tụ trong các mô xung quanh âm đạo, có thể xảy ra như một biến chứng của sinh đẻ hoặc chấn thương vùng chậu và có thể cần phải phẫu thuật lấy bỏ.",UNOBSERVED,UNOBSERVED
symplast,thể hợp tương,n,"  A fungal mycelium can be considered a symplast, as it often consists of a network of interconnected hyphae with continuous cytoplasm, facilitating nutrient distribution throughout the organism.  ","  Sợi nấm có thể được coi là một thể hợp tương, vì nó thường bao gồm một mạng lưới các sợi nấm được nối với nhau với tế bào chất liên tục, tạo điều kiện cho việc phân phối chất dinh dưỡng khắp cơ thể sinh vật.",UNOBSERVED,UNOBSERVED
cystophotography,chụp bên trong bàng quang,n,  Cystophotography allows for visual documentation of the bladder's internal surface during cystoscopy.  ,  Chụp bên trong bàng quang cho phép ghi lại hình ảnh trực quan bề mặt bên trong của bàng quang trong quá trình nội soi bàng quang.,UNOBSERVED,UNOBSERVED
ramose,nhiều nhánh,a,"  The ramose structure of certain glands, like the parotid gland, involves a branching ductal system that allows for extensive distribution of secretory units throughout the glandular tissue. ","  Cấu trúc nhiều nhánh của một số tuyến, như tuyến mang tai, bao gồm một hệ thống ống dẫn phân nhánh cho phép các đơn vị bài tiết phân bố rộng rãi khắp mô tuyến.",UNOBSERVED,UNOBSERVED
hemiparesis,liệt nhẹ một bên,n, Hemiparesis is a condition of muscular weakness or partial paralysis affecting one side of the body. , Liệt nhẹ một bên là tình trạng yếu cơ hoặc liệt một phần ảnh hưởng đến một bên cơ thể.,UNOBSERVED,UNOBSERVED
neurolysis,giảm trương lực thần kinh,n," In some contexts, neurolysis refers to the reduction of nerve tone or excitability. "," Trong một số trường hợp, giảm trương lực thần kinh là sự giảm trương lực hoặc tính dễ bị kích thích của thần kinh.",UNOBSERVED,UNOBSERVED
embryogenic,phát sinh phôi,a,  Certain teratogens can disrupt normal embryogenic development.  ,  Một số chất gây quái thai có thể làm gián đoạn sự phát triển phát sinh phôi bình thường.,UNOBSERVED,UNOBSERVED
immunoglobulin,globulin miễn dịch,n, Immunoglobulin G (IgG) is the most abundant type of antibody found in blood and other body fluids. , Globulin miễn dịch G (IgG) là loại kháng thể phong phú nhất được tìm thấy trong máu và các chất dịch cơ thể khác.,UNOBSERVED,UNOBSERVED
sinister,trái,a,"  In anatomical terms, ""sinister"" refers to the left side of the body.  ","  Trong thuật ngữ giải phẫu, ""trái"" (sinister) dùng để chỉ bên trái của cơ thể.",UNOBSERVED,UNOBSERVED
